iter	RMSE
0	1.031325549
1	1.02096554
2	1.01137645
3	1.002116476
4	0.9939755907
5	0.9861860915
6	0.9790451324
7	0.9725810733
8	0.9666400961
9	0.9614556241
10	0.9565226417
11	0.9519334827
12	0.9477761163
13	0.9437733512
14	0.9401852897
15	0.9369093935
16	0.9338164759
17	0.9310137645
18	0.9285235002
19	0.9263344093
20	0.9242506191
21	0.921953417
22	0.9199098041
23	0.9181533946
24	0.9163048211
25	0.9146081207
26	0.9128547812
27	0.9113004165
28	0.9099059584
29	0.9087452887
30	0.9074923908
31	0.9064502529
32	0.9052595027
33	0.9040595812
34	0.9029640995
35	0.9018783839
36	0.900963774
37	0.8999476915
38	0.8989416051
39	0.8980274955
40	0.8973268311
41	0.8965383822
42	0.8958239191
43	0.8951624259
44	0.8944900279
45	0.8938662072
46	0.8932808462
47	0.8927255042
48	0.8922238551
49	0.8917462963
50	0.8913360637
51	0.8908234407
52	0.8902235623
53	0.8897496718
54	0.8893488049
55	0.8889686693
56	0.888550757
57	0.8880746534
58	0.8876288895
59	0.8872497666
60	0.8869451758
61	0.886599987
62	0.8860889825
63	0.8858506183
64	0.8856092566
65	0.8851564198
66	0.8848799667
67	0.8846210205
68	0.8843961982
69	0.8840622791
70	0.8837091036
71	0.8834661372
72	0.8831329464
73	0.8829143296
74	0.8825167624
75	0.8823793457
76	0.8820083481
77	0.88158427
78	0.8814145974
79	0.8811684187
80	0.8808024256
81	0.8804798773
82	0.8802261566
83	0.8798130498
84	0.8796986698
85	0.8794501729
86	0.8792900135
87	0.8789994297
88	0.8787049632
89	0.8784791803
90	0.87834695
91	0.8782193489
92	0.8780797477
93	0.8778216869
94	0.8775951689
95	0.8772630787
96	0.8769569103
97	0.8766943605
98	0.8764048435
99	0.8763170998
100	0.8761448981
101	0.875904425
102	0.8755742041
103	0.8753254738
104	0.8751385328
105	0.8749717978
106	0.8748694809
107	0.8746427098
108	0.874519457
109	0.8744010859
110	0.8741179034
111	0.8740174119
112	0.8738014989
113	0.873627605
114	0.8734030942
115	0.8732974272
116	0.8731564262
117	0.8729252077
118	0.8726855671
119	0.8724448257
120	0.8723192466
121	0.872081893
122	0.8718904939
123	0.8717858556
124	0.8716697034
125	0.8715466452
126	0.8713619724
127	0.8710907717
128	0.87104024
129	0.8708101345
130	0.870587282
131	0.8703989484
132	0.8701224445
133	0.8698022585
134	0.8695878957
135	0.8694249032
136	0.8693382406
137	0.8692871135
138	0.869209339
139	0.8690650907
140	0.8687840636
141	0.8685662318
142	0.868270425
143	0.8681705433
144	0.8680351281
145	0.8679453196
146	0.8678635469
147	0.8677863827
148	0.8676855307
149	0.8674617365
150	0.8673494761
151	0.8672394718
152	0.8670182688
153	0.8669539399
154	0.8666217366
155	0.8665445914
156	0.8664293753
157	0.8662413005
158	0.8660593256
159	0.8659418092
160	0.8656050112
161	0.865460971
162	0.8653753624
163	0.8651813522
164	0.8651006703
165	0.8649131266
166	0.8647449918
167	0.8645129359
168	0.8642299381
169	0.8640360141
170	0.8638928397
171	0.8638657564
172	0.8637860365
173	0.8635207139
174	0.8633053801
175	0.8630916024
176	0.8629075076
177	0.8627162319
178	0.8626308682
179	0.8622950677
180	0.8621882309
181	0.861986986
182	0.8619301646
183	0.8616940663
184	0.8614989538
185	0.8614605585
186	0.8613815453
187	0.8612302785
188	0.8611751135
189	0.8609386168
190	0.8608745534
191	0.8608346906
192	0.8605826351
193	0.8604860196
194	0.8603964211
195	0.8601969111
196	0.8598564605
197	0.8597886059
198	0.8596275282
199	0.8594760233
200	0.8592619823
201	0.8591477316
202	0.8590393795
203	0.8588214889
204	0.858677797
205	0.858423235
206	0.8583716843
207	0.8582729846
208	0.8580748381
209	0.8577591282
210	0.8576322288
211	0.8574764409
212	0.8573663957
213	0.8571249161
214	0.8570650616
215	0.857064194
216	0.8570633607
217	0.8568781192
218	0.8567795475
219	0.8566993945
220	0.8565763204
221	0.8563927187
222	0.856347828
223	0.8561164542
224	0.8560185717
225	0.8558014666
226	0.8556812436
227	0.8555747062
228	0.8553738842
229	0.8551860201
230	0.8550259999
231	0.8547870639
232	0.8546997498
233	0.8546281249
234	0.8544997609
235	0.854418451
236	0.8543025852
237	0.8540488341
238	0.8539718679
239	0.8537585273
240	0.853619975
241	0.8534379015
242	0.8531466585
243	0.8530321345
244	0.8528459477
245	0.8526817021
246	0.8525635258
247	0.8524662342
248	0.8522756039
249	0.8519931705
250	0.8518778576
251	0.8515994749
252	0.8514798901
253	0.8514324686
254	0.8512327556
255	0.8511604654
256	0.8509599022
257	0.8507764481
258	0.8505474368
259	0.850366653
260	0.8503089702
261	0.850138162
262	0.8499203287
263	0.8497778274
264	0.8496880335
265	0.8496148047
266	0.8492572609
267	0.8491695007
268	0.84910864
269	0.8489610602
270	0.8487733651
271	0.8486445531
272	0.8484793963
273	0.8483661871
274	0.8482682631
275	0.8481189629
276	0.8480558372
277	0.8479452954
278	0.8477853494
279	0.8476917943
280	0.8475979246
281	0.8474248434
282	0.8472768021
283	0.8471685461
284	0.8469462584
285	0.8468131067
286	0.8467438206
287	0.8465803169
288	0.846414702
289	0.846165024
290	0.8460158791
291	0.8459049829
292	0.8456028056
293	0.845314383
294	0.8451508544
295	0.8448515486
296	0.844662336
297	0.8444007032
298	0.8441959223
299	0.8441034197
300	0.8438617452
301	0.8436819785
302	0.8435509924
303	0.8433902428
304	0.8432828621
305	0.8431817503
306	0.8430947072
307	0.8430774122
308	0.8430289337
309	0.8429155488
310	0.8428184467
311	0.842687324
312	0.8424858587
313	0.8424050487
314	0.8423333901
315	0.8420923089
316	0.8419651982
317	0.8419212346
318	0.8419063059
319	0.8418487342
320	0.8417528744
321	0.8416304526
322	0.8414540011
323	0.8412733783
324	0.8411167495
325	0.8409695478
326	0.8408940271
327	0.8406357785
328	0.8405611484
329	0.8404209962
330	0.8401856957
331	0.8399164594
332	0.8397524552
333	0.8396265769
334	0.8395213098
335	0.8393896375
336	0.8392696333
337	0.839012278
338	0.8389085163
339	0.8388689808
340	0.8386943805
341	0.8385940906
342	0.838502474
343	0.8383466401
344	0.83820474
345	0.8380497142
346	0.8379854169
347	0.8378777617
348	0.8377441914
349	0.8375673385
350	0.8375124191
351	0.8373493903
352	0.8372096569
353	0.8370817702
354	0.8369137832
355	0.8367981582
356	0.8365845107
357	0.8365509733
358	0.8364513254
359	0.8361880548
360	0.8359959268
361	0.8358973333
362	0.8357294731
363	0.8356660772
364	0.835563771
365	0.835393789
366	0.835304102
367	0.8351643204
368	0.8350730241
369	0.8349616596
370	0.8348860716
371	0.8348188987
372	0.8346954839
373	0.8346594177
374	0.8345962569
375	0.8343981228
376	0.8343190828
377	0.8341467213
378	0.8340811421
379	0.8340254429
380	0.8338869476
381	0.8338491564
382	0.83371714
383	0.8335656688
384	0.8334393193
385	0.8333081314
386	0.8332020973
387	0.8330666392
388	0.832943239
389	0.832877464
390	0.8328056152
391	0.8326827462
392	0.8325918442
393	0.8324329805
394	0.8323470527
395	0.8322327731
396	0.8321520964
397	0.8319671649
398	0.8317698287
399	0.8317425506
400	0.8316774947
401	0.831524834
402	0.8314495202
403	0.8313436606
404	0.8312908241
405	0.8310982267
406	0.8309047831
407	0.8307682073
408	0.8307394605
409	0.8306629656
410	0.830586434
411	0.830537587
412	0.8305031183
413	0.830425285
414	0.8303220028
415	0.8302520921
416	0.8300119035
417	0.8299655573
418	0.8299053669
419	0.8298137496
420	0.829716368
421	0.8296767252
422	0.829649481
423	0.8294303811
424	0.8293602845
425	0.8292709615
426	0.8292043019
427	0.8290796236
428	0.8290482554
429	0.8289705669
430	0.828825622
431	0.8286717564
432	0.8285653237
433	0.8283093299
434	0.8281944077
435	0.8280961027
436	0.827979721
437	0.8278154922
438	0.8277377382
439	0.8276427375
440	0.8274989154
441	0.8273047016
442	0.8272718991
443	0.8271651104
444	0.8269672353
445	0.8268471814
446	0.8267338528
447	0.8265837397
448	0.8264895111
449	0.8264091014
450	0.8263131856
451	0.8261333233
452	0.8260621199
453	0.8259898263
454	0.8259521332
455	0.8258817235
456	0.8258611879
457	0.8257810259
458	0.825534954
459	0.8254235834
460	0.825218777
461	0.8251827215
462	0.8250677032
463	0.8248934289
464	0.8248160605
465	0.8246510964
466	0.824457389
467	0.8243877516
468	0.8242634401
469	0.8242150842
470	0.8241662891
471	0.824016836
472	0.8237724636
473	0.8237024259
474	0.8235773456
475	0.8234854311
476	0.8233713697
477	0.8233052481
478	0.8232201737
479	0.8230878376
480	0.8229928809
481	0.8228483561
482	0.8227937913
483	0.8226846024
484	0.8225740425
485	0.8224980338
486	0.8224543845
487	0.8223730377
488	0.8222429242
489	0.8221412288
490	0.8220890289
491	0.8219499096
492	0.8218370936
493	0.8217590356
494	0.8217022994
495	0.8215897864
496	0.8215208406
497	0.8214142887
498	0.8211715178
499	0.8211071212
500	0.8210208529
501	0.8209940751
502	0.8209036266
503	0.8208001179
504	0.8206815882
505	0.8205903407
506	0.8204245665
507	0.8202946132
508	0.8200515224
509	0.8199506008
510	0.819874424
511	0.8198183931
512	0.8197177813
513	0.8196673151
514	0.8196446768
515	0.8195791488
516	0.819489998
517	0.8193811262
518	0.8192822497
519	0.8192000941
520	0.8190943375
521	0.8189517344
522	0.8188351196
523	0.8186752569
524	0.8185819078
525	0.8185314541
526	0.8184701436
527	0.8183790389
528	0.8183675381
529	0.8181695747
530	0.8181676966
531	0.8180401355
532	0.817945828
533	0.8178901795
534	0.8176670825
535	0.8175705876
536	0.8175007783
537	0.8173972541
538	0.8173142528
539	0.8173103878
540	0.8172309767
541	0.8171727508
542	0.8171390814
543	0.817097845
544	0.8170533022
545	0.8168816293
546	0.816796144
547	0.8167708413
548	0.8166761668
549	0.8166753884
550	0.8166353262
551	0.8165595023
552	0.8164627717
553	0.8164193488
554	0.8163158995
555	0.8162075718
556	0.8161779171
557	0.8161594785
558	0.8160254967
559	0.8159087715
560	0.8157636197
561	0.8155049036
562	0.8153399537
563	0.815253873
564	0.8151926244
565	0.8150288386
566	0.8149646917
567	0.8149092765
568	0.8147785267
569	0.8147049202
570	0.8146707803
571	0.8145885176
572	0.8145340278
573	0.8145092747
574	0.8143236992
575	0.8142123664
576	0.8141217745
577	0.8140805507
578	0.8139716761
579	0.8139006172
580	0.8137976308
581	0.8137462837
582	0.813700756
583	0.8136193464
