iter	Passed	Remaining
0	70	70250
1	121	60655
2	185	61610
3	247	61720
4	318	63410
5	399	66219
6	463	65808
7	512	63565
8	563	62026
9	623	61731
10	676	60856
11	740	60943
12	790	60007
13	854	60156
14	916	60174
15	964	59333
16	1027	59422
17	1077	58801
18	1128	58249
19	1179	57772
20	1230	57369
21	1295	57608
22	1359	57739
23	1422	57845
24	1475	57536
25	1539	57679
26	1608	57978
27	1681	58356
28	1763	59057
29	1833	59267
30	1914	59853
31	1965	59460
32	2025	59360
33	2091	59414
34	2165	59719
35	2239	59955
36	2306	60022
37	2371	60026
38	2437	60066
39	2510	60251
40	2574	60226
41	2636	60132
42	2696	60017
43	2744	59636
44	2795	59326
45	2861	59337
46	2925	59322
47	2975	59023
48	3023	58678
49	3087	58668
50	3140	58444
51	3190	58159
52	3252	58107
53	3305	57903
54	3371	57926
55	3436	57921
56	3507	58021
57	3582	58180
58	3639	58049
59	3713	58184
60	3764	57942
61	3830	57948
62	3925	58379
63	3978	58187
64	4029	57956
65	4095	57960
66	4146	57745
67	4216	57788
68	4266	57560
69	4345	57737
70	4410	57713
71	4461	57502
72	4546	57730
73	4626	57889
74	4679	57714
75	4760	57881
76	4846	58091
77	4928	58257
78	4992	58203
79	5053	58114
80	5136	58282
81	5213	58363
82	5273	58257
83	5337	58206
84	5408	58217
85	5479	58231
86	5563	58383
87	5633	58381
88	5702	58370
89	5758	58229
90	5823	58169
91	5873	57968
92	5924	57779
93	5991	57746
94	6054	57681
95	6123	57664
96	6182	57557
97	6256	57585
98	6343	57732
99	6404	57640
100	6466	57560
101	6524	57437
102	6595	57437
103	6650	57297
104	6701	57118
105	6767	57079
106	6820	56924
107	6899	56984
108	6955	56856
109	7020	56799
110	7086	56752
111	7158	56753
112	7248	56893
113	7321	56899
114	7389	56866
115	7443	56724
116	7527	56807
117	7602	56823
118	7677	56840
119	7740	56766
120	7803	56685
121	7884	56739
122	7950	56689
123	8004	56549
124	8069	56488
125	8143	56487
126	8198	56353
127	8266	56317
128	8333	56266
129	8407	56267
130	8459	56116
131	8535	56126
132	8615	56162
133	8686	56135
134	8758	56120
135	8824	56059
136	8889	55999
137	8946	55884
138	8998	55736
139	9049	55592
140	9133	55642
141	9232	55783
142	9300	55739
143	9362	55652
144	9423	55566
145	9482	55464
146	9546	55394
147	9605	55298
148	9675	55259
149	9741	55204
150	9812	55168
151	9858	55000
152	9923	54933
153	9972	54784
154	10023	54642
155	10084	54562
156	10155	54528
157	10215	54440
158	10275	54349
159	10340	54287
160	10421	54306
161	10486	54246
162	10554	54196
163	10616	54120
164	10696	54132
165	10766	54090
166	10850	54120
167	10916	54062
168	10983	54007
169	11050	53950
170	11111	53869
171	11151	53681
172	11225	53660
173	11312	53702
174	11380	53648
175	11451	53613
176	11516	53548
177	11592	53531
178	11659	53479
179	11720	53395
180	11783	53317
181	11849	53257
182	11896	53112
183	11956	53023
184	12034	53016
185	12099	52952
186	12148	52815
187	12195	52675
188	12273	52666
189	12339	52605
190	12388	52472
191	12440	52352
192	12519	52346
193	12589	52303
194	12636	52166
195	12706	52123
196	12774	52070
197	12856	52076
198	12908	51956
199	12973	51895
200	13040	51837
201	13123	51845
202	13202	51832
203	13249	51698
204	13296	51564
205	13354	51472
206	13403	51347
207	13449	51212
208	13517	51158
209	13602	51171
210	13675	51138
211	13747	51097
212	13812	51033
213	13877	50969
214	13956	50958
215	13970	50706
216	13980	50446
217	14048	50393
218	14140	50426
219	14222	50423
220	14290	50371
221	14359	50323
222	14407	50199
223	14470	50130
224	14542	50091
225	14604	50018
226	14665	49941
227	14729	49873
228	14785	49778
229	14844	49695
230	14895	49586
231	14977	49581
232	15031	49480
233	15098	49424
234	15171	49386
235	15245	49355
236	15328	49349
237	15415	49357
238	15476	49279
239	15537	49202
240	15621	49199
241	15709	49205
242	15779	49155
243	15824	49028
244	15889	48967
245	15970	48949
246	16037	48892
247	16108	48845
248	16183	48810
249	16257	48773
250	16334	48743
251	16411	48712
252	16493	48697
253	16567	48659
254	16632	48593
255	16709	48561
256	16759	48452
257	16823	48385
258	16891	48326
259	16952	48249
260	17030	48220
261	17095	48153
